Dystans (m),Wysokość (m)
7131.357502089316,6820.4462890625
7146.628074898929,6816.92529296875
7161.898647708542,6810.8369140625
7177.169220518155,6802.1025390625
7192.439793327769,6794.27294921875
7207.710366137381,6787.3466796875
7222.980938946995,6781.3251953125
7238.251511756607,6775.23681640625
7253.522084566221,6768.41796875
7268.792657375834,6759.625
7284.063230185447,6745.68505859375
7299.33380299506,6732.0615234375
7314.6043758046735,6718.75439453125
7329.874948614286,6706.05517578125
7345.1455214238995,6695.681640625
7360.416094233512,6685.76025390625
7375.686667043125,6675.14306640625
7390.957239852739,6661.40185546875
7406.227812662351,6648.203125
7421.498385471965,6635.546875
7436.768958281577,6621.96728515625
7452.039531091191,6609.00146484375
7467.310103900804,6596.80419921875
7482.580676710417,6585.57373046875
7497.85124952003,6576.0439453125
7513.121822329644,6566.5595703125
7528.392395139256,6557.67431640625
7543.66296794887,6549.08447265625
7558.933540758482,6540.53955078125
7574.204113568096,6532.03955078125
7589.474686377709,6523.61767578125
7604.745259187322,6517.341796875
7620.015831996935,6512.08056640625
7635.2864048065485,6507.7705078125
7650.556977616161,6503.7763671875
7665.8275504257745,6500.09912109375
7681.098123235387,6496.73828125
7696.368696045,6493.69384765625
7711.639268854614,6491.662109375
7726.909841664226,6490.08056640625
7742.18041447384,6488.63427734375
7757.450987283453,6487.32421875
7772.721560093066,6486.1494140625
7787.992132902679,6485.1103515625
7803.262705712292,6484.22021484375
