Dystans (m),Wysokość (m)
238821.35566931774,734.3163452148438
239406.70212929157,706.9868774414062
239992.04858926538,679.5350952148438
240577.39504923922,650.638671875
241162.74150921302,624.6193237304688
241748.08796918683,596.8563842773438
242333.43442916067,567.3637084960938
242918.78088913448,539.2730712890625
243504.12734910828,511.5700073242188
244089.47380908212,482.7041015625
244674.82026905593,453.8548889160156
245260.16672902973,425.1597900390625
245845.51318900357,391.8562622070312
246430.85964897738,362.2618713378906
247016.2061089512,330.6779479980469
247601.55256892502,324.1626586914062
248186.89902889883,352.85791015625
248772.24548887266,405.75048828125
249357.59194884647,367.16650390625
249942.93840882028,336.88037109375
250528.28486879412,304.2254333496094
251113.63132876792,271.703857421875
251698.97778874176,237.8956298828125
252284.32424871557,202.911865234375
252869.67070868937,168.8997497558594
253455.0171686632,141.2342681884766
254040.36362863702,125.5031433105469
254625.71008861082,95.1773681640625
255211.05654858466,62.74001693725586
255796.40300855847,27.866943359375
256381.7494685323,13.03886795043945
256967.0959285061,25.31054878234863
257552.44238847992,59.73714447021484
258137.78884845375,90.10193634033203
258723.13530842756,125.7298278808594
259308.48176840137,140.1900329589844
259893.8282283752,166.3347015380859
260479.174688349,199.9056091308594
261064.52114832285,234.628173828125
261649.86760829666,268.9413757324219
262235.21406827046,301.269287109375
262820.5605282443,333.5228271484375
263405.9069882181,364.1700439453125
263991.2534481919,401.9200134277344
264576.59990816575,357.5215454101562
265161.9463681396,323.1661071777344
265747.29282811336,329.4171752929688
266332.6392880872,358.1666564941406
266917.98574806104,388.979736328125
267503.3322080348,418.6773681640625
268088.67866800865,468.4319763183594
268674.0251279825,480.0204467773438
269259.37158795627,509.1077270507812
269844.7180479301,537.02783203125
270430.06450790394,565.9083251953125
271015.4109678777,593.9451293945312
271600.75742785155,621.7151489257812
272186.1038878254,648.202392578125
272771.45034779917,675.9869995117188
273356.796807773,703.6552734375
273942.14326774684,731.813720703125
274527.4897277207,759.5283203125
275112.83618769445,789.262939453125
275698.1826476683,817.8579711914062
276283.5291076421,844.1734008789062
276868.8755676159,877.6552734375
277454.22202758974,904.0585327148438
278039.5684875636,933.6849975585938
278624.91494753736,962.6151733398438
279210.2614075112,995.9896240234375
279795.607867485,972.3388061523438
280380.9543274588,929.8737182617188
280966.30078743264,890.13525390625
281551.6472474065,855.5574951171875
282136.99370738026,820.9492797851562
282722.3401673541,789.568115234375
283307.68662732793,759.154052734375
283893.0330873017,729.1021728515625
284478.37954727554,699.2575073242188
285063.7260072494,674.2088623046875
285649.0724672232,658.4789428710938
286234.418927197,651.9274291992188
286819.76538717083,644.0490112304688
287405.11184714467,641.2783203125
287990.45830711845,645.380126953125
288575.8047670923,653.4343872070312
289161.1512270661,658.6102905273438
289746.4976870399,666.643310546875
290331.84414701373,663.9505004882812
290917.19060698757,655.8591918945312
291502.53706696135,644.5280151367188
292087.8835269352,626.5047607421875
292673.229986909,610.1416015625
293258.5764468828,591.9083862304688
293843.92290685663,573.5574340820312
294429.2693668305,552.6859741210938
295014.6158268043,536.0528564453125
295599.9622867781,515.7595825195312
296185.3087467519,501.3086853027344
296770.65520672576,498.0540466308594
297356.00166669954,499.3785705566406
297941.3481266734,490.6925354003906
298526.6945866472,481.1007995605469
299112.041046621,480.1117858886719
